#Types Before Cut: 11091
#Types After Cut: 9696
#Search Hits: 0
242	13	34.225	спать
243	13	34.225	твои
244	13	34.225	учились
245	28	34.181	обычно
246	20	33.524	другому
247	17	33.217	пошла
248	15	32.633	будешь
249	15	32.633	понял
250	15	32.633	поняла
251	28	32.337	таки
252	34	32.203	голос
253	24	32.189	принципе
254	25	32.137	татьяна
255	18	32.036	дом
256	113	31.760	даже
257	12	31.592	берег
258	12	31.592	весело
259	12	31.592	детстве
260	12	31.592	квартиру
261	12	31.592	круто
262	12	31.592	любят
263	12	31.592	поговорить
264	12	31.592	пятьдесят
265	12	31.592	смешно
266	36	31.518	две
267	49	31.504	всегда
268	16	30.814	школа
269	16	30.814	языке
270	20	30.755	дочка
271	21	30.428	хоть
272	21	30.428	язык
273	14	30.134	домой
274	17	29.720	давайте
275	11	28.960	inan
276	11	28.960	давали
277	11	28.960	девочки
278	11	28.960	девяносто
279	11	28.960	здорово
280	11	28.960	знала
281	11	28.960	кадра
282	11	28.960	классно
283	11	28.960	кхм
284	11	28.960	понимаешь
285	11	28.960	расскажу
286	11	28.960	рассказчик
287	11	28.960	смеётся
288	11	28.960	смотри
289	11	28.960	соседка
290	11	28.960	училась
291	11	28.960	холодно
292	19	28.579	младший
293	26	28.543	самое
294	26	28.543	смысле
295	15	28.424	играть
296	21	28.166	жить
297	156	27.658	или
298	13	27.644	концерт
299	13	27.644	семья
300	13	27.644	ходить
301	13	27.644	честно
302	16	27.422	видео
303	17	26.802	моей
304	18	26.425	понимаю
305	10	26.327	бывают
306	10	26.327	вкус
307	10	26.327	восемьдесят
308	10	26.327	дед
309	10	26.327	дедушка
310	10	26.327	ехать
311	10	26.327	забыл
312	10	26.327	иии
313	10	26.327	картинка
314	10	26.327	кашель
315	10	26.327	нуу
316	10	26.327	озеро
317	10	26.327	пол
318	10	26.327	прикольно
319	10	26.327	ребята
320	10	26.327	своё
321	10	26.327	слушай
322	10	26.327	смешок
323	10	26.327	собака
324	10	26.327	ушёл
325	19	26.213	н
326	19	26.213	слово
327	22	26.186	какую
328	22	26.186	часов
329	14	26.050	собственно
330	27	25.699	моя
331	12	25.166	вдруг
332	12	25.166	делаю
333	12	25.166	купил
334	15	25.143	ж
335	50	24.990	день
336	16	24.604	читать
337	20	24.145	друг
338	20	24.145	места
339	18	24.142	тему
340	146	23.879	был
341	9	23.694	n
342	9	23.694	ар
343	9	23.694	видишь
344	9	23.694	грустный
345	9	23.694	двенадцать
346	9	23.694	двести
347	9	23.694	женщина
348	9	23.694	кошки
349	9	23.694	папа
350	9	23.694	переехали
351	9	23.694	подожди
352	9	23.694	смесь
353	9	23.694	танцами
354	9	23.694	твой
355	9	23.694	учителя
356	9	23.694	чай
357	9	23.694	эмм
358	13	23.693	какими
359	13	23.693	маленький
360	13	23.693	машина
361	13	23.693	смотреть
362	39	23.043	людей
363	27	22.991	слова
364	14	22.886	d
365	14	22.886	вещи
366	14	22.886	мои
367	14	22.886	хотелось
368	11	22.700	квартире
369	29	22.567	старший
370	36	22.555	одна
371	21	22.543	долго
372	16	22.192	девять
373	28	22.154	совсем
374	18	22.111	русский
375	17	22.099	кем
376	35	22.088	четыре
377	27	21.748	каждый
378	29	21.428	сама
379	12	21.358	нравятся
380	8	21.062	acc
381	8	21.062	komm
382	8	21.062	nom
383	8	21.062	ааa
384	8	21.062	английский
385	8	21.062	брови
386	8	21.062	вертолет
387	8	21.062	говорящийа
388	8	21.062	говорящийб
389	8	21.062	грустно
390	8	21.062	делаешь
391	8	21.062	егэ
392	8	21.062	замечательно
393	8	21.062	звук
394	8	21.062	иду
395	8	21.062	интересного
396	8	21.062	колесико
397	8	21.062	любишь
398	8	21.062	лёва
399	8	21.062	мамой
400	8	21.062	мемы
401	8	21.062	моих
402	8	21.062	надя
403	8	21.062	неудобно
404	8	21.062	никит
405	8	21.062	одиннадцать
406	8	21.062	поехал
407	8	21.062	прихожу
408	8	21.062	смотрел
409	8	21.062	смотрела
410	8	21.062	студентов
411	8	21.062	типо
412	8	21.062	умер
413	8	21.062	учился
414	8	21.062	учится
415	8	21.062	хе
416	8	21.062	эт
417	30	20.792	чего
418	13	20.655	бывает
419	13	20.655	говорила
420	13	20.655	специально
421	19	20.475	павел
422	14	20.285	надеюсь
423	10	20.249	интересные
424	10	20.249	рассказывала
425	40	20.149	говорить
426	27	19.458	ей
427	11	19.046	будто
428	11	19.046	знаете
429	11	19.046	отец
430	11	19.046	пошел
431	19	18.901	хотел
432	12	18.453	делали
433	12	18.453	купить
434	12	18.453	семье
435	7	18.429	бабушкой
436	7	18.429	боже
437	7	18.429	буквы
438	7	18.429	двери
439	7	18.429	детство
440	7	18.429	детьми
441	7	18.429	друзьями
442	7	18.429	ездить
443	7	18.429	ехали
444	7	18.429	живёт
445	7	18.429	забыла
446	7	18.429	задание
447	7	18.429	карл
448	7	18.429	квартиры
449	7	18.429	красивый
450	7	18.429	ненавижу
451	7	18.429	нету
452	7	18.429	ноль
453	7	18.429	одни
454	7	18.429	парень
455	7	18.429	понравилась
456	7	18.429	пошёл
457	7	18.429	пытаюсь
458	7	18.429	ребят
459	7	18.429	секунд
460	7	18.429	скажи
461	7	18.429	сорок
462	7	18.429	супер
463	7	18.429	троих
464	7	18.429	троллейбус
465	7	18.429	человечек
466	7	18.429	читаю
467	7	18.429	чё
468	16	18.226	реально
469	16	18.226	уж
470	13	18.172	другую
471	9	17.817	брали
472	9	17.817	друзей
473	9	17.817	едем
474	9	17.817	жил
475	9	17.817	институте
476	9	17.817	историю
477	9	17.817	маленькая
478	9	17.817	мое
479	9	17.817	нечего
480	9	17.817	смеется
481	9	17.817	твоя
482	153	17.737	еще
483	17	16.832	разные
484	10	16.762	мной
485	10	16.762	написано
486	78	16.722	больше
487	23	16.616	равно
488	29	16.496	соответственно
489	11	16.284	посмотреть
490	11	16.284	скажем
491	11	16.284	считаю
492	19	16.131	говоря
493	12	16.095	друзья
494	13	16.076	улице
495	13	16.076	языка
496	6	15.796	distinct
497	6	15.796	onion
498	6	15.796	part
499	6	15.796	автобус
500	6	15.796	автобусе
501	6	15.796	ам
502	6	15.796	антифриз
503	6	15.796	бабуля
504	6	15.796	бабушки
505	6	15.796	бешбармак
506	6	15.796	бутово
507	6	15.796	вау
508	6	15.796	верно
509	6	15.796	волосы
510	6	15.796	восемнадцать
511	6	15.796	выпускной
512	6	15.796	вышла
513	6	15.796	гончар
514	6	15.796	готовился
515	6	15.796	жигули
516	6	15.796	загрузили
517	6	15.796	запомнила
518	6	15.796	играли
519	6	15.796	идёт
520	6	15.796	книги
521	6	15.796	колесо
522	6	15.796	коллектив
523	6	15.796	кормила
524	6	15.796	красиво
525	6	15.796	культура
526	6	15.796	лагере
527	6	15.796	лингвистике
528	6	15.796	литературу
529	6	15.796	лук
530	6	15.796	любил
531	6	15.796	любимый
532	6	15.796	математике
533	6	15.796	мгм
534	6	15.796	мем
535	6	15.796	молодец
536	6	15.796	мужик
537	6	15.796	немец
538	6	15.796	ногой
539	6	15.796	обед
540	6	15.796	орешки
541	6	15.796	погрей
542	6	15.796	подумала
543	6	15.796	полу
544	6	15.796	польский
545	6	15.796	понравился
546	6	15.796	поступил
547	6	15.796	преподаватели
548	6	15.796	причём
549	6	15.796	пятёрка
550	6	15.796	саш
551	6	15.796	семьдесят
552	6	15.796	слышно
553	6	15.796	снимали
554	6	15.796	снимать
555	6	15.796	спал
556	6	15.796	спрашивают
557	6	15.796	спросить
558	6	15.796	студенты
559	6	15.796	сынок
560	6	15.796	убирай
561	6	15.796	учителей
562	6	15.796	учителем
563	6	15.796	худи
564	6	15.796	чувак
565	6	15.796	шёл
566	6	15.796	щас
567	6	15.796	этаж
568	6	15.796	эх
569	21	15.748	виктор
570	64	15.597	тогда
571	25	15.505	лучше
572	8	15.407	дверь
573	8	15.407	интересный
574	8	15.407	паре
575	8	15.407	работала
576	8	15.407	родителей
577	17	15.404	заниматься
578	16	15.070	естественно
579	24	15.037	понятно
580	50	14.750	него
581	355	14.572	но
582	9	14.512	берут
583	9	14.512	какого
584	9	14.512	машине
585	9	14.512	можете
586	9	14.512	половиной
587	9	14.512	тяжело
588	9	14.512	часа
589	18	14.499	е
590	18	14.499	разных
591	18	14.499	сначала
592	73	14.306	поэтому
593	13	14.272	завтра
594	13	14.272	минус
595	13	14.272	спокойно
596	20	14.214	каких
597	10	14.154	пришла
598	22	14.105	дальше
599	11	14.059	рядом
600	16	13.719	наша
601	16	13.719	совершенно
602	26	13.375	плюс
603	15	13.354	вас
604	15	13.354	метро
605	18	13.339	каким
606	24	13.236	чуть
607	5	13.163	num
608	5	13.163	арахис
609	5	13.163	бабушку
610	5	13.163	баллов
611	5	13.163	венера
612	5	13.163	вернее
613	5	13.163	видела
614	5	13.163	вкусный
615	5	13.163	вложил
616	5	13.163	вырезать
617	5	13.163	выставках
618	5	13.163	вышло
619	5	13.163	гешу
620	5	13.163	голову
621	5	13.163	горбачёв
622	5	13.163	гости
623	5	13.163	грязь
624	5	13.163	гэкаю
625	5	13.163	двадцати
626	5	13.163	делаем
627	5	13.163	доехали
628	5	13.163	ездила
629	5	13.163	ездит
630	5	13.163	ест
631	5	13.163	жестко
632	5	13.163	жесть
633	5	13.163	живу
634	5	13.163	жила
635	5	13.163	зашли
636	5	13.163	идешь
637	5	13.163	ии
638	5	13.163	ильямихайлович
639	5	13.163	имею
640	5	13.163	инопланетян
641	5	13.163	итак
642	5	13.163	камеру
643	5	13.163	каракатицах
644	5	13.163	картинки
645	5	13.163	кили
646	5	13.163	килограмм
647	5	13.163	классов
648	5	13.163	комнате
649	5	13.163	коридоре
650	5	13.163	красивые
651	5	13.163	крестик
652	5	13.163	крысу
653	5	13.163	лекцию
654	5	13.163	лилии
655	5	13.163	лингвисты
656	5	13.163	лол
657	5	13.163	лука
